l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Expedia;7;Friday;Friday;130.4675;596
DTW;ATL;Offline;84;Saturday;Saturday;82.79;596
DTW;ATL;Offline;70;Wednesday;Wednesday;85.43166667;596
DTW;ATL;Travelocity;100;Tuesday;Thursday;92.09;596
DTW;ATL;Expedia;4;Wednesday;Sunday;171.16;596
DTW;ATL;Offline;9;Tuesday;Thursday;163.4671429;596
DTW;ATL;Online Other;18;Thursday;Monday;77.36;596
DTW;ATL;Offline;45;Tuesday;Friday;123.72;596
DTW;ATL;Offline;7;Friday;Friday;151.7202299;596
DTW;ATL;Online Other;3;Monday;Thursday;182.79;596
DTW;ATL;Expedia;11;Sunday;Thursday;138.605;596
DTW;ATL;Offline;7;Tuesday;Tuesday;135.9198;596
DTW;ATL;Offline;4;Wednesday;Sunday;164.8086842;596
DTW;ATL;Travelocity;83;Thursday;Wednesday;82.79;596
DTW;ATL;Offline;116;Tuesday;Saturday;96.74;596
DTW;ATL;Offline;21;Monday;Monday;122.8361111;596
DTW;ATL;Orbitz;21;Thursday;Thursday;78.135;596
DTW;ATL;Travelocity;26;Friday;Wednesday;73.48;596
DTW;ATL;Offline;71;Friday;Saturday;73.49;596
DTW;ATL;Online Other;7;Friday;Friday;106.05;596
DTW;ATL;Orbitz;3;Monday;Thursday;133.95;596
DTW;ATL;Offline;56;Thursday;Thursday;99.53333333;596
DTW;ATL;Offline;78;Wednesday;Thursday;130.795;596
DTW;ATL;Orbitz;9;Tuesday;Thursday;120.1533333;596
DTW;ATL;Offline;79;Sunday;Tuesday;96.74;596
DTW;ATL;Offline;41;Tuesday;Monday;123.465;596
DTW;ATL;Orbitz;7;Friday;Friday;136.28;596
DTW;ATL;Travelocity;3;Monday;Thursday;133.95;596
DTW;ATL;Offline;4;Tuesday;Saturday;159.402;596
DTW;ATL;Offline;52;Tuesday;Friday;99.3025;596
DTW;ATL;Offline;33;Friday;Wednesday;141.915;596
