,l,Destination,Channel,AdvanceDays,TicketWeekday,DepartureWeekday,Fare,miles
0,DTW,ATL,Expedia,7,Friday,Friday,130.4675,596
1,DTW,ATL,Expedia,4,Wednesday,Sunday,171.16,596
2,DTW,ATL,Expedia,11,Sunday,Thursday,138.605,596
3,DTW,ATL,Expedia,16,Tuesday,Thursday,117.675,596
4,DTW,ATL,Expedia,10,Monday,Thursday,185.115,596
5,DTW,ATL,Expedia,16,Thursday,Saturday,69.3,596
6,DTW,ATL,Expedia,14,Tuesday,Tuesday,45.58,596
7,DTW,ATL,Expedia,75,Monday,Saturday,82.79,596
8,DTW,ATL,Expedia,5,Tuesday,Sunday,209.1433333,596
9,DTW,ATL,Expedia,11,Tuesday,Saturday,147.91,596
10,DTW,ATL,Expedia,23,Thursday,Saturday,80.465,596
11,DTW,ATL,Expedia,18,Tuesday,Saturday,73.48,596
12,DTW,ATL,Expedia,8,Thursday,Friday,103.725,596
13,DTW,ATL,Expedia,6,Monday,Sunday,235.115,596
14,DTW,ATL,Expedia,12,Thursday,Tuesday,147.91,596
15,DTW,ATL,Expedia,24,Monday,Thursday,124.65,596
16,DTW,ATL,Expedia,19,Saturday,Thursday,124.65,596
17,DTW,ATL,Expedia,15,Thursday,Friday,280.48,596
18,DTW,ATL,Expedia,26,Sunday,Friday,136.28,596
19,DTW,ATL,Expedia,24,Wednesday,Saturday,82.79,596
20,DTW,ATL,Expedia,5,Wednesday,Monday,150.23,596
21,DTW,ATL,Expedia,7,Saturday,Saturday,108.605,596
22,DTW,ATL,Expedia,33,Thursday,Tuesday,67.91,596
23,DTW,ATL,Expedia,46,Tuesday,Saturday,82.79,596
24,DTW,ATL,Expedia,36,Monday,Tuesday,80.47,596
25,DTW,ATL,Expedia,21,Saturday,Saturday,106.05,596
26,DTW,ATL,Expedia,6,Tuesday,Monday,229.39,596
27,DTW,ATL,Expedia,2,Wednesday,Friday,212.25,596
28,DTW,ATL,Expedia,2,Saturday,Monday,143.26,596
29,DTW,ATL,Expedia,2,Monday,Wednesday,194.42,596
30,DTW,ATL,Expedia,5,Friday,Wednesday,146.3533333,596
31,DTW,ATL,Expedia,98,Thursday,Thursday,82.79,596
32,DTW,ATL,Expedia,13,Tuesday,Monday,117.6733333,596
33,DTW,ATL,Expedia,61,Sunday,Friday,147.91,596
34,DTW,ATL,Expedia,26,Wednesday,Monday,120.0,596
35,DTW,ATL,Expedia,9,Wednesday,Friday,124.655,596
36,DTW,ATL,Expedia,9,Monday,Wednesday,73.48,596
37,DTW,ATL,Expedia,2,Tuesday,Thursday,185.12,596
38,DTW,ATL,Expedia,16,Monday,Wednesday,73.48,596
39,DTW,ATL,Expedia,69,Thursday,Wednesday,143.26,596
40,DTW,ATL,Expedia,6,Wednesday,Tuesday,171.16,596
41,DTW,ATL,Expedia,23,Wednesday,Friday,133.95,596
42,DTW,ATL,Expedia,18,Thursday,Monday,124.65,596
43,DTW,ATL,Expedia,31,Friday,Monday,143.26,596
44,DTW,ATL,Expedia,23,Monday,Wednesday,73.48,596
45,DTW,ATL,Expedia,9,Tuesday,Thursday,120.0766667,596
46,DTW,ATL,Expedia,1,Friday,Saturday,192.87,596
47,DTW,ATL,Expedia,7,Tuesday,Tuesday,113.302,596
48,DTW,ATL,Expedia,2,Friday,Sunday,184.3333333,596
49,DTW,ATL,Expedia,9,Thursday,Saturday,138.6,596
50,DTW,ATL,Expedia,18,Monday,Friday,132.4,596
51,DTW,ATL,Expedia,25,Thursday,Monday,75.81,596
52,DTW,ATL,Expedia,20,Friday,Thursday,93.79666667,596
53,DTW,ATL,Expedia,8,Friday,Saturday,143.26,596
54,DTW,ATL,Expedia,1,Thursday,Friday,194.42,596
55,DTW,ATL,Expedia,1,Wednesday,Thursday,194.42,596
